HEAD_ID	RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
pub_247525	dblp:hasAuthor	author_470347	0.0437
pub_52745	dblp:inYear	year_49	0.0899
author_580395	dblp:wrote	pub_435506	0.0541
pub_361878	dblp:inYear	year_36	0.0755
author_490426	dblp:wrote	pub_242436	0.0510
pub_30654	dblp:hasAuthor	author_47340	0.0458
pub_255581	dblp:inYear	year_23	0.0577
pub_225799	dblp:publishedIn	venue_864	0.0873
author_383176	dblp:wrote	pub_350704	0.0818
pub_392092	dblp:publishedIn	venue_2075	0.0603
pub_361877	dblp:publishedIn	venue_1468	0.1030
author_337135	dblp:wrote	pub_296892	0.0401
pub_153802	dblp:inYear	year_12	0.0718
pub_255872	dblp:inYear	year_32	0.1142
pub_72877	dblp:hasAuthor	author_189872	0.0477
pub_139348	dblp:inYear	year_20	0.0709
pub_368838	dblp:inYear	year_5	0.0513
pub_293713	dblp:inYear	year_48	0.1041
pub_341920	dblp:inYear	year_34	0.0790
author_431378	dblp:wrote	pub_253620	0.0676
author_35517	dblp:wrote	pub_164319	0.0384
pub_320378	dblp:hasAuthor	author_243251	0.0930
pub_372413	dblp:hasAuthor	author_110858	0.0657
author_317440	dblp:wrote	pub_177651	0.0400
author_346405	dblp:wrote	pub_461675	0.0603
pub_366898	dblp:hasAuthor	author_69142	0.0428
author_409356	dblp:wrote	pub_404503	0.0426
pub_68168	dblp:hasAuthor	author_170902	0.0482
pub_193008	dblp:hasAuthor	author_530641	0.0745
pub_453449	dblp:publishedIn	venue_1373	0.0727
pub_401390	dblp:publishedIn	venue_2556	0.0741
pub_411010	dblp:publishedIn	venue_2638	0.0597
pub_190620	dblp:inYear	year_24	0.1209
pub_63250	dblp:hasAuthor	author_225956	0.0391
pub_155227	dblp:inYear	year_43	0.0934
pub_170563	dblp:publishedIn	venue_1422	0.0785
pub_391380	dblp:inYear	year_5	0.0580
author_195715	dblp:wrote	pub_17502	0.0600
pub_37739	dblp:hasAuthor	author_255590	0.0508
pub_447979	dblp:inYear	year_13	0.1142
pub_382052	dblp:hasAuthor	author_241986	0.0468
pub_176936	dblp:inYear	year_16	0.1113
pub_11427	dblp:publishedIn	venue_1230	0.0751
pub_399481	dblp:inYear	year_49	0.0911
pub_74560	dblp:hasAuthor	author_21818	0.0605
pub_412946	dblp:publishedIn	venue_668	0.0485
pub_230036	dblp:publishedIn	venue_2153	0.0644
pub_25536	dblp:inYear	year_47	0.0640
pub_288979	dblp:inYear	year_3	0.0804
author_350242	dblp:wrote	pub_58851	0.0607
pub_320224	dblp:hasAuthor	author_344785	0.0446
author_476300	dblp:wrote	pub_447105	0.0418
pub_404358	dblp:hasAuthor	author_289343	0.0468
pub_70974	dblp:inYear	year_22	0.1155
pub_336513	dblp:hasAuthor	author_581607	0.0417
pub_191817	dblp:inYear	year_6	0.0846
author_489196	dblp:wrote	pub_14173	0.0805
pub_67240	dblp:hasAuthor	author_512917	0.0709
pub_99654	dblp:publishedIn	venue_1891	0.0834
pub_294284	dblp:publishedIn	venue_1146	0.0954
pub_227804	dblp:publishedIn	venue_303	0.0740
author_437457	dblp:wrote	pub_234728	0.0738
pub_78063	dblp:inYear	year_53	0.0640
pub_337560	dblp:inYear	year_38	0.0980
pub_410154	dblp:inYear	year_18	0.0550
pub_300406	dblp:hasAuthor	author_525862	0.0564
author_498356	dblp:wrote	pub_416327	0.0549
pub_438857	dblp:publishedIn	venue_2464	0.0790
pub_470296	dblp:inYear	year_46	0.0601
pub_239677	dblp:inYear	year_32	0.0798
pub_66762	dblp:hasAuthor	author_324665	0.0447
pub_358617	dblp:publishedIn	venue_2724	0.0708
pub_456019	dblp:publishedIn	venue_2988	0.0490
pub_309684	dblp:inYear	year_61	0.0992
pub_100840	dblp:publishedIn	venue_2113	0.0653
pub_442735	dblp:publishedIn	venue_775	0.0672
pub_261036	dblp:inYear	year_8	0.1124
pub_127096	dblp:publishedIn	venue_2891	0.0844
pub_467749	dblp:publishedIn	venue_1399	0.0889
pub_406932	dblp:hasAuthor	author_12640	0.0561
pub_328326	dblp:hasAuthor	author_174865	0.0707
pub_384853	dblp:publishedIn	venue_864	0.0555
pub_310497	dblp:publishedIn	venue_2284	0.0705
pub_3001	dblp:publishedIn	venue_1344	0.0554
pub_16842	dblp:inYear	year_13	0.0494
author_633501	dblp:wrote	pub_73061	0.0434
pub_126665	dblp:inYear	year_31	0.1172
pub_222799	dblp:inYear	year_20	0.0648
author_194319	dblp:wrote	pub_41364	0.0895
pub_199295	dblp:publishedIn	venue_2258	0.0455
author_218442	dblp:wrote	pub_317351	0.0426
pub_27693	dblp:inYear	year_38	0.0813
author_375378	dblp:wrote	pub_315410	0.0902
author_351255	dblp:wrote	pub_182948	0.0408
pub_260903	dblp:inYear	year_27	0.0574
author_56145	dblp:wrote	pub_376512	0.0672
author_453963	dblp:wrote	pub_221401	0.0741
pub_112898	dblp:inYear	year_8	0.0810
pub_255927	dblp:hasAuthor	author_343009	0.0475
pub_359530	dblp:inYear	year_17	0.0633
pub_451900	dblp:publishedIn	venue_1761	0.0725
author_529501	dblp:wrote	pub_99719	0.0467
author_163876	dblp:wrote	pub_152108	0.0646
pub_464536	dblp:inYear	year_12	0.0593
author_311026	dblp:wrote	pub_47533	0.0410
pub_177013	dblp:publishedIn	venue_228	0.0942
author_96790	dblp:wrote	pub_360793	0.0508
pub_261632	dblp:publishedIn	venue_2295	0.0507
pub_56584	dblp:publishedIn	venue_1436	0.1013
author_435316	dblp:wrote	pub_256308	0.0675
pub_53139	dblp:inYear	year_19	0.0738
pub_326843	dblp:hasAuthor	author_495549	0.0406
pub_59116	dblp:hasAuthor	author_275134	0.0482
pub_473621	dblp:publishedIn	venue_1406	0.0774
pub_103444	dblp:inYear	year_36	0.0920
pub_11625	dblp:hasAuthor	author_527057	0.0440
pub_413334	dblp:hasAuthor	author_189911	0.0405
pub_239565	dblp:inYear	year_16	0.0871
pub_456312	dblp:inYear	year_26	0.0937
pub_351296	dblp:publishedIn	venue_2467	0.0726
pub_456242	dblp:publishedIn	venue_602	0.0835
pub_484520	dblp:publishedIn	venue_1466	0.0692
author_248592	dblp:wrote	pub_34462	0.0456
pub_313990	dblp:hasAuthor	author_151624	0.0559
pub_257632	dblp:hasAuthor	author_432355	0.0394
pub_74306	dblp:publishedIn	venue_2488	0.0840
pub_394187	dblp:publishedIn	venue_3027	0.1431
pub_91769	dblp:inYear	year_9	0.0865
pub_102962	dblp:inYear	year_24	0.1102
pub_256025	dblp:inYear	year_46	0.0790
pub_33007	dblp:inYear	year_0	0.0593
pub_371509	dblp:hasAuthor	author_485657	0.0517
pub_164028	dblp:hasAuthor	author_190286	0.0419
pub_353095	dblp:publishedIn	venue_2081	0.0542
pub_130620	dblp:publishedIn	venue_1767	0.0626
author_228422	dblp:wrote	pub_280475	0.0475
pub_232895	dblp:inYear	year_9	0.0648
pub_67841	dblp:publishedIn	venue_2117	0.0650
pub_68062	dblp:inYear	year_58	0.0675
author_257469	dblp:wrote	pub_138587	0.0383
pub_469747	dblp:publishedIn	venue_467	0.0981
author_355807	dblp:wrote	pub_438501	0.0426
pub_223228	dblp:inYear	year_8	0.0755
pub_296768	dblp:inYear	year_3	0.0925
pub_446582	dblp:publishedIn	venue_935	0.0677
pub_443555	dblp:publishedIn	venue_928	0.0559
author_583407	dblp:wrote	pub_460185	0.0415
pub_397814	dblp:hasAuthor	author_236362	0.0430
pub_418393	dblp:hasAuthor	author_195479	0.0476
pub_61384	dblp:hasAuthor	author_340893	0.0436
pub_192220	dblp:publishedIn	venue_1870	0.0907
pub_219733	dblp:inYear	year_15	0.0670
pub_264022	dblp:hasAuthor	author_545515	0.0787
pub_87983	dblp:hasAuthor	author_69321	0.0732
author_546427	dblp:wrote	pub_452338	0.0694
author_53719	dblp:wrote	pub_414035	0.0539
author_164170	dblp:wrote	pub_376413	0.0757
pub_439660	dblp:publishedIn	venue_663	0.0626
pub_289286	dblp:publishedIn	venue_830	0.0942
author_134459	dblp:wrote	pub_78509	0.0401
author_586440	dblp:wrote	pub_29387	0.0504
pub_9500	dblp:hasAuthor	author_574625	0.0485
pub_238683	dblp:hasAuthor	author_194393	0.0505
pub_456387	dblp:inYear	year_16	0.0558
author_621806	dblp:wrote	pub_458020	0.0617
author_557869	dblp:wrote	pub_73016	0.0406
pub_89394	dblp:publishedIn	venue_896	0.0838
pub_389262	dblp:inYear	year_22	0.1013
pub_341065	dblp:publishedIn	venue_228	0.0856
pub_250701	dblp:publishedIn	venue_805	0.0686
pub_325842	dblp:hasAuthor	author_416264	0.0532
author_456009	dblp:wrote	pub_179685	0.0582
pub_217231	dblp:publishedIn	venue_1234	0.1017
author_166793	dblp:wrote	pub_382220	0.0535
pub_258284	dblp:inYear	year_0	0.0762
author_310041	dblp:wrote	pub_56585	0.0725
pub_138779	dblp:publishedIn	venue_2051	0.1188
pub_297386	dblp:hasAuthor	author_356112	0.0646
pub_6672	dblp:publishedIn	venue_1305	0.1165
pub_229550	dblp:hasAuthor	author_46891	0.0491
pub_259726	dblp:publishedIn	venue_2079	0.0879
pub_62666	dblp:inYear	year_55	0.1030
pub_314670	dblp:publishedIn	venue_1304	0.0519
author_161831	dblp:wrote	pub_328939	0.0836
pub_344689	dblp:inYear	year_45	0.1094
author_330248	dblp:wrote	pub_108921	0.0609
pub_330549	dblp:publishedIn	venue_39	0.0751
pub_12656	dblp:hasAuthor	author_631179	0.0470
pub_7984	dblp:inYear	year_26	0.0586
pub_400382	dblp:hasAuthor	author_154415	0.0458
pub_217478	dblp:inYear	year_51	0.0597
author_212478	dblp:wrote	pub_396274	0.0389
pub_332302	dblp:publishedIn	venue_1471	0.0647
pub_122712	dblp:hasAuthor	author_300882	0.0874
pub_2274	dblp:publishedIn	venue_1225	0.1038
pub_284535	dblp:hasAuthor	author_328596	0.0536
pub_444020	dblp:hasAuthor	author_89	0.0550
author_362056	dblp:wrote	pub_358602	0.0431
pub_467778	dblp:publishedIn	venue_1340	0.0635
pub_81946	dblp:inYear	year_20	0.0957
pub_383793	dblp:publishedIn	venue_2153	0.1095
author_175989	dblp:wrote	pub_344257	0.0511
pub_311923	dblp:publishedIn	venue_1947	0.0613
pub_13153	dblp:inYear	year_51	0.0903
pub_344529	dblp:publishedIn	venue_757	0.0954
pub_440624	dblp:publishedIn	venue_614	0.0568
pub_320232	dblp:inYear	year_16	0.1098
pub_208967	dblp:publishedIn	venue_218	0.0710
pub_395323	dblp:publishedIn	venue_860	0.0698
pub_185895	dblp:hasAuthor	author_327	0.0673
pub_28925	dblp:publishedIn	venue_1399	0.0924
pub_222024	dblp:hasAuthor	author_89726	0.0456
pub_461867	dblp:publishedIn	venue_87	0.0940
pub_291815	dblp:hasAuthor	author_603363	0.0398
author_420918	dblp:wrote	pub_476853	0.0409
pub_331669	dblp:inYear	year_2	0.0810
author_220785	dblp:wrote	pub_318353	0.0417
pub_323673	dblp:publishedIn	venue_625	0.0803
pub_245508	dblp:inYear	year_51	0.0892
author_343219	dblp:wrote	pub_182047	0.0713
pub_167170	dblp:inYear	year_6	0.0841
pub_253243	dblp:publishedIn	venue_2632	0.1143
pub_155771	dblp:publishedIn	venue_2484	0.0745
pub_264493	dblp:publishedIn	venue_1278	0.0796
pub_53493	dblp:publishedIn	venue_969	0.0629
pub_58381	dblp:hasAuthor	author_18847	0.0419
pub_30430	dblp:publishedIn	venue_663	0.0704
pub_310186	dblp:inYear	year_34	0.0740
pub_5899	dblp:hasAuthor	author_491334	0.0591
author_480526	dblp:wrote	pub_265219	0.0921
pub_58347	dblp:hasAuthor	author_428268	0.0459
pub_361035	dblp:hasAuthor	author_36947	0.0611
pub_349107	dblp:publishedIn	venue_2456	0.0760
author_344027	dblp:wrote	pub_306521	0.0379
author_441447	dblp:wrote	pub_404699	0.0807
pub_15638	dblp:inYear	year_20	0.0527
pub_275152	dblp:hasAuthor	author_281499	0.0666
pub_71760	dblp:publishedIn	venue_469	0.0624
pub_62302	dblp:inYear	year_22	0.1615
pub_252807	dblp:hasAuthor	author_265368	0.0435
pub_463592	dblp:publishedIn	venue_1436	0.0961
pub_317160	dblp:hasAuthor	author_296892	0.0497
pub_70454	dblp:publishedIn	venue_2638	0.0584
pub_22074	dblp:hasAuthor	author_124832	0.0379
pub_79733	dblp:inYear	year_19	0.0635
author_389033	dblp:wrote	pub_334816	0.0622
pub_65568	dblp:publishedIn	venue_2328	0.0543
author_349440	dblp:wrote	pub_399116	0.0466
pub_484439	dblp:hasAuthor	author_162286	0.0523
author_413786	dblp:wrote	pub_15986	0.0930
pub_253360	dblp:inYear	year_47	0.0728
pub_112564	dblp:hasAuthor	author_60769	0.0498
pub_446134	dblp:hasAuthor	author_486203	0.0665
pub_151138	dblp:inYear	year_42	0.1101
pub_327728	dblp:inYear	year_13	0.1006
pub_37255	dblp:hasAuthor	author_563997	0.0363
author_341796	dblp:wrote	pub_403098	0.0608
author_198354	dblp:wrote	pub_343823	0.0547
pub_455622	dblp:inYear	year_21	0.1052
pub_439215	dblp:publishedIn	venue_58	0.0905
pub_363590	dblp:publishedIn	venue_1436	0.0754
pub_397929	dblp:publishedIn	venue_1065	0.0760
pub_36043	dblp:publishedIn	venue_210	0.0672
author_62961	dblp:wrote	pub_416787	0.0450
pub_242386	dblp:inYear	year_8	0.0595
pub_162301	dblp:inYear	year_44	0.0633
pub_473327	dblp:inYear	year_6	0.0942
pub_302332	dblp:hasAuthor	author_341604	0.0453
pub_138507	dblp:inYear	year_23	0.0862
pub_115874	dblp:hasAuthor	author_454381	0.0450
pub_466891	dblp:inYear	year_59	0.0840
pub_126180	dblp:hasAuthor	author_598083	0.0437
author_501158	dblp:wrote	pub_280035	0.0632
author_97842	dblp:wrote	pub_437550	0.0598
pub_317783	dblp:hasAuthor	author_70146	0.0588
pub_277825	dblp:publishedIn	venue_1674	0.0621
pub_301820	dblp:publishedIn	venue_2044	0.0641
pub_258420	dblp:hasAuthor	author_405062	0.0390
author_231241	dblp:wrote	pub_249191	0.0613
author_152720	dblp:wrote	pub_300264	0.0388
pub_440719	dblp:publishedIn	venue_632	0.0809
author_608961	dblp:wrote	pub_317969	0.0482
pub_61672	dblp:hasAuthor	author_231264	0.0443
pub_246446	dblp:inYear	year_12	0.0857
author_112656	dblp:wrote	pub_375038	0.1198
pub_281779	dblp:publishedIn	venue_2167	0.0669
pub_480496	dblp:inYear	year_40	0.0797
pub_256143	dblp:publishedIn	venue_935	0.0594
pub_111297	dblp:inYear	year_9	0.0564
pub_312856	dblp:hasAuthor	author_19375	0.0435
pub_206772	dblp:inYear	year_33	0.0887
pub_211160	dblp:hasAuthor	author_364946	0.0416
pub_335408	dblp:hasAuthor	author_371941	0.0480
pub_53133	dblp:publishedIn	venue_907	0.0734
pub_480198	dblp:publishedIn	venue_633	0.0995
pub_137703	dblp:hasAuthor	author_328156	0.0611
pub_470528	dblp:hasAuthor	author_573467	0.0618
pub_321565	dblp:inYear	year_8	0.0698
pub_173613	dblp:publishedIn	venue_2282	0.0591
author_570724	dblp:wrote	pub_249596	0.0420
pub_370716	dblp:hasAuthor	author_296823	0.0421
pub_312639	dblp:inYear	year_24	0.0740
pub_142624	dblp:inYear	year_39	0.0547
pub_159589	dblp:inYear	year_34	0.0877
pub_332927	dblp:hasAuthor	author_205869	0.0422
pub_7505	dblp:hasAuthor	author_46018	0.0511
pub_68528	dblp:hasAuthor	author_145933	0.0687
author_423314	dblp:wrote	pub_391189	0.0438
author_619561	dblp:wrote	pub_458683	0.0489
author_604998	dblp:wrote	pub_455521	0.0448
pub_165840	dblp:publishedIn	venue_1387	0.0581
author_102904	dblp:wrote	pub_84306	0.0602
author_586423	dblp:wrote	pub_454167	0.0456
pub_119642	dblp:hasAuthor	author_67306	0.0629
author_445533	dblp:wrote	pub_291091	0.0505
pub_302073	dblp:hasAuthor	author_33266	0.0507
author_384916	dblp:wrote	pub_385149	0.0518
pub_19441	dblp:inYear	year_45	0.1071
pub_350324	dblp:inYear	year_31	0.0950
pub_385294	dblp:inYear	year_9	0.0742
pub_352159	dblp:publishedIn	venue_1710	0.0516
author_412898	dblp:wrote	pub_92289	0.0850
author_358791	dblp:wrote	pub_78407	0.0465
author_634810	dblp:wrote	pub_282568	0.0424
pub_201314	dblp:inYear	year_40	0.0774
pub_290382	dblp:hasAuthor	author_414607	0.0563
author_192155	dblp:wrote	pub_222026	0.0582
pub_95009	dblp:publishedIn	venue_667	0.0589
pub_236692	dblp:publishedIn	venue_54	0.0751
pub_109620	dblp:publishedIn	venue_1466	0.0875
pub_449604	dblp:inYear	year_40	0.0789
pub_392049	dblp:publishedIn	venue_1762	0.0648
pub_239403	dblp:publishedIn	venue_1318	0.0939
pub_312087	dblp:hasAuthor	author_336344	0.0774
pub_392720	dblp:inYear	year_8	0.0768
pub_438238	dblp:hasAuthor	author_4214	0.0435
pub_17960	dblp:publishedIn	venue_1584	0.0931
pub_459597	dblp:publishedIn	venue_1216	0.0677
author_578926	dblp:wrote	pub_442034	0.0420
author_38237	dblp:wrote	pub_322130	0.0582
pub_321607	dblp:inYear	year_30	0.0670
author_39751	dblp:wrote	pub_6115	0.0720
author_530759	dblp:wrote	pub_486302	0.0428
pub_145207	dblp:inYear	year_20	0.1319
author_158973	dblp:wrote	pub_32526	0.0922
pub_77782	dblp:publishedIn	venue_1719	0.0539
author_262121	dblp:wrote	pub_484761	0.0420
pub_459636	dblp:hasAuthor	author_119447	0.0486
pub_190109	dblp:publishedIn	venue_1480	0.0884
pub_488387	dblp:hasAuthor	author_112188	0.0609
author_507119	dblp:wrote	pub_433330	0.0529
pub_285233	dblp:publishedIn	venue_1032	0.1025
pub_215236	dblp:publishedIn	venue_871	0.0623
pub_349890	dblp:hasAuthor	author_161552	0.0493
author_190482	dblp:wrote	pub_484815	0.0458
pub_37605	dblp:inYear	year_48	0.0696
author_366752	dblp:wrote	pub_307335	0.0537
author_119631	dblp:wrote	pub_68423	0.0623
pub_440518	dblp:publishedIn	venue_1358	0.0652
pub_194836	dblp:publishedIn	venue_330	0.0633
pub_470564	dblp:inYear	year_46	0.0718
pub_175591	dblp:inYear	year_30	0.0854
author_398497	dblp:wrote	pub_6715	0.0509
pub_342649	dblp:hasAuthor	author_51438	0.0375
pub_27293	dblp:hasAuthor	author_147449	0.0388
pub_439746	dblp:publishedIn	venue_1305	0.0999
pub_397417	dblp:publishedIn	venue_2879	0.1048
pub_454089	dblp:hasAuthor	author_310190	0.0750
pub_209692	dblp:hasAuthor	author_527036	0.0399
author_398202	dblp:wrote	pub_263774	0.0547
pub_117125	dblp:hasAuthor	author_641828	0.0514
pub_47034	dblp:inYear	year_4	0.0894
pub_397826	dblp:hasAuthor	author_29065	0.0489
pub_479625	dblp:hasAuthor	author_410935	0.0480
pub_357385	dblp:publishedIn	venue_1453	0.1216
pub_61334	dblp:hasAuthor	author_60769	0.0616
author_1681	dblp:wrote	pub_333765	0.0370
pub_221937	dblp:inYear	year_8	0.0886
author_477702	dblp:wrote	pub_367880	0.0427
pub_231008	dblp:hasAuthor	author_121539	0.0601
pub_398588	dblp:inYear	year_25	0.1255
pub_203069	dblp:inYear	year_56	0.0871
pub_211176	dblp:publishedIn	venue_816	0.0875
pub_288601	dblp:inYear	year_43	0.0781
author_414788	dblp:wrote	pub_186909	0.0663
pub_388784	dblp:inYear	year_20	0.0815
pub_325080	dblp:publishedIn	venue_1327	0.0632
pub_338577	dblp:inYear	year_38	0.0851
pub_310709	dblp:inYear	year_24	0.0715
pub_256229	dblp:hasAuthor	author_368957	0.0485
pub_300109	dblp:publishedIn	venue_3032	0.0609
author_526429	dblp:wrote	pub_183662	0.0712
pub_397708	dblp:inYear	year_5	0.0935
pub_358961	dblp:inYear	year_19	0.0937
author_578043	dblp:wrote	pub_257125	0.0441
pub_261341	dblp:publishedIn	venue_1365	0.0852
author_541385	dblp:wrote	pub_318606	0.0426
pub_241602	dblp:hasAuthor	author_182140	0.0397
pub_150226	dblp:publishedIn	venue_2800	0.0592
pub_383870	dblp:inYear	year_39	0.1063
pub_70008	dblp:hasAuthor	author_97338	0.0443
pub_17422	dblp:hasAuthor	author_225044	0.0414
pub_365076	dblp:hasAuthor	author_326665	0.0552
pub_409655	dblp:hasAuthor	author_451472	0.0721
pub_176916	dblp:hasAuthor	author_632013	0.0458
pub_184995	dblp:inYear	year_32	0.0680
pub_161515	dblp:publishedIn	venue_1074	0.0496
pub_375949	dblp:hasAuthor	author_342066	0.0638
pub_434325	dblp:publishedIn	venue_1399	0.1142
pub_189984	dblp:publishedIn	venue_20	0.0868
pub_463517	dblp:inYear	year_15	0.0543
pub_69880	dblp:inYear	year_0	0.0868
pub_22336	dblp:inYear	year_1	0.0759
pub_28916	dblp:inYear	year_54	0.0833
pub_309007	dblp:publishedIn	venue_841	0.1906
pub_157290	dblp:publishedIn	venue_5	0.0621
pub_187762	dblp:inYear	year_60	0.0955
pub_143054	dblp:publishedIn	venue_1702	0.0625
pub_145039	dblp:publishedIn	venue_2528	0.0620
pub_160023	dblp:publishedIn	venue_469	0.0920
pub_176905	dblp:inYear	year_30	0.0678
pub_23087	dblp:publishedIn	venue_1707	0.0680
pub_278464	dblp:inYear	year_3	0.0443
pub_122919	dblp:hasAuthor	author_257041	0.0760
author_422310	dblp:wrote	pub_19508	0.0394
pub_210436	dblp:publishedIn	venue_5	0.0833
pub_169679	dblp:publishedIn	venue_141	0.0643
pub_288624	dblp:inYear	year_39	0.0918
pub_180114	dblp:publishedIn	venue_610	0.0681
pub_410606	dblp:inYear	year_21	0.0938
pub_490580	dblp:inYear	year_28	0.0705
pub_289064	dblp:hasAuthor	author_50703	0.0449
pub_238394	dblp:inYear	year_5	0.0645
pub_240658	dblp:hasAuthor	author_136812	0.0530
pub_418308	dblp:inYear	year_16	0.0491
pub_101169	dblp:inYear	year_46	0.0830
pub_110	dblp:publishedIn	venue_1767	0.0621
author_149670	dblp:wrote	pub_102494	0.0439
pub_132679	dblp:inYear	year_35	0.0697
pub_45360	dblp:publishedIn	venue_490	0.0564
pub_330287	dblp:inYear	year_27	0.0655
pub_205668	dblp:inYear	year_16	0.1421
pub_430613	dblp:publishedIn	venue_2471	0.1028
pub_89575	dblp:inYear	year_56	0.0917
pub_322004	dblp:publishedIn	venue_1365	0.0736
author_299252	dblp:wrote	pub_262947	0.0487
pub_21967	dblp:inYear	year_56	0.0638
pub_229353	dblp:publishedIn	venue_942	0.0744
author_641735	dblp:wrote	pub_99635	0.0439
author_601192	dblp:wrote	pub_404684	0.0827
pub_48442	dblp:publishedIn	venue_1762	0.0718
pub_175912	dblp:hasAuthor	author_362610	0.0396
pub_227566	dblp:inYear	year_30	0.0729
pub_123600	dblp:hasAuthor	author_340212	0.0418
author_66146	dblp:wrote	pub_232011	0.0606
pub_196655	dblp:inYear	year_23	0.0852
pub_139473	dblp:hasAuthor	author_143704	0.0418
author_551149	dblp:wrote	pub_480289	0.0520
pub_309278	dblp:hasAuthor	author_223208	0.0443
pub_238089	dblp:inYear	year_0	0.0763
pub_26434	dblp:hasAuthor	author_453059	0.0625
author_368705	dblp:wrote	pub_204805	0.0480
author_190352	dblp:wrote	pub_239133	0.0695
pub_417957	dblp:inYear	year_53	0.0831
pub_449232	dblp:publishedIn	venue_869	0.0828
author_67838	dblp:wrote	pub_349656	0.0561
author_609617	dblp:wrote	pub_30755	0.1022
author_384173	dblp:wrote	pub_174772	0.0369
author_575303	dblp:wrote	pub_110560	0.0536
pub_128272	dblp:publishedIn	venue_2528	0.0722
pub_215661	dblp:hasAuthor	author_70442	0.0482
author_288612	dblp:wrote	pub_147430	0.0528
pub_160235	dblp:hasAuthor	author_152828	0.0534
author_316175	dblp:wrote	pub_301070	0.0443
pub_104723	dblp:inYear	year_17	0.0624
pub_447516	dblp:hasAuthor	author_627271	0.0377
pub_322043	dblp:hasAuthor	author_579396	0.0440
author_248433	dblp:wrote	pub_111821	0.0385
pub_73121	dblp:inYear	year_56	0.0941
pub_25125	dblp:publishedIn	venue_1822	0.0917
pub_464350	dblp:hasAuthor	author_573494	0.0452
pub_287293	dblp:publishedIn	venue_2122	0.0587
pub_474641	dblp:inYear	year_40	0.0604
pub_7760	dblp:hasAuthor	author_607522	0.0405
pub_19976	dblp:hasAuthor	author_265566	0.0737
pub_465034	dblp:hasAuthor	author_404667	0.0401
pub_386727	dblp:publishedIn	venue_2696	0.0668
author_576434	dblp:wrote	pub_216526	0.0484
pub_422016	dblp:inYear	year_34	0.0614
pub_455288	dblp:hasAuthor	author_48026	0.0456
pub_483260	dblp:hasAuthor	author_189008	0.0543
author_642001	dblp:wrote	pub_97085	0.0484
author_346645	dblp:wrote	pub_245015	0.0603
pub_419101	dblp:hasAuthor	author_195285	0.0414
pub_197951	dblp:hasAuthor	author_92603	0.0726
pub_227065	dblp:hasAuthor	author_381989	0.0378
pub_104168	dblp:hasAuthor	author_410935	0.0493
pub_40358	dblp:publishedIn	venue_2833	0.0935
pub_25346	dblp:inYear	year_19	0.1043
pub_389345	dblp:inYear	year_49	0.0652
pub_261980	dblp:hasAuthor	author_263312	0.0788
pub_440757	dblp:inYear	year_21	0.0684
